name,prompt,negative_prompt
01 暗绿调,暗绿色调电影胶片质感，低饱和度，暗调氛围，深邃墨绿色彩，柔和阴影，电影感光影，细腻胶片颗粒，氛围感画面，8K高清,"水印, 高饱和, 艳丽色彩, 过曝, 明亮色调"
02 青橙调,青橙撞色电影色调，青色阴影与橙色高光对比，高对比光影，电影级调色，冷暖色彩分离，氛围感画面，8K高清,"水印, 色彩平淡, 低对比, 单色调"
03 雨夜胶片氛围感,雨夜湿润街道，地面积水反射霓虹灯光，胶片颗粒质感，冷调霓虹氛围，朦胧雨丝，城市夜景，电影感，8K高清,"水印, 晴天, 干燥地面, 明亮日光, 高饱和"
04 复古港风人像,90年代港风人像，胶片颗粒质感，暖柔磨皮，复古色调，柔和光影，怀旧氛围，港式美学，8K高清,"水印, 现代感, 冷色调, 锐化过度, 素颜"
05 莫奈印象油画风,莫奈印象派油画风格，柔和色块，明显笔触肌理，朦胧光影，色彩斑斓，户外风景，艺术感，油画质感，8K高清,"水印, 写实照片, 锐利细节, 数字绘画, 线稿"
06 日系治愈水彩,日系治愈水彩插画，清透淡水彩，低饱和度，柔和晕染，纸张纹理，清新色调，温暖氛围，手绘感，8K高清,"水印, 油画厚涂, 高饱和, 锐利边缘, 暗黑风格"
07 赛博都市霓虹,赛博朋克都市夜景，高饱和霓虹灯光，未来感建筑，光影炫彩，雨夜反射，科幻氛围，8K高清,"水印, 低饱和, 古典建筑, 日光场景, 朴素风格"
08 极简扁平插画风,极简扁平插画风格，大色块扁平化设计，干净轮廓线，少细节，高级简约，几何构成，现代感，8K高清,"水印, 写实, 渐变, 阴影, 复杂细节, 3D渲染"
09 速写线稿风,钢笔速写线稿风格，流畅轮廓线条，少量明暗排线，米白纸张底色，手绘速写感，建筑城市速写，8K高清,"水印, 全彩填充, 油画, 照片写实, 3D建模"
10 复古胶片摄影,复古胶片摄影，老胶卷质感，明显颗粒感，轻微褪色，复古色彩偏移，漏光效果，纪实摄影，8K高清,"水印, 数码清晰, 高饱和, 现代滤镜, 锐利"
11 宫崎骏动画风,宫崎骏吉卜力动画风格，柔和色彩，通透自然光影，手绘动画质感，蓝天白云，绿意盎然，温暖治愈，8K高清,"水印, 3D渲染, 暗黑风格, 赛博朋克, 写实照片"
12 黑白纪实摄影,黑白纪实摄影，高对比度，丰富灰阶，胶片颗粒，故事感，人文纪实，情绪画面，8K高清,"水印, 彩色, 低对比, 柔和磨皮, 摆拍感"
13 噪点颗粒复古海报,噪点颗粒复古海报，印刷噪点质感，做旧纸张纹理，复古版式设计，有限色彩，年代感，8K高清,"水印, 现代设计, 光滑质感, 高清晰, 渐变色彩"
14 莫比斯漫画风,莫比斯漫画风格，干净流畅线条，平涂色彩，科幻文艺漫画构图，超现实场景，建筑幻想，艺术感，8K高清,"水印, 写实, 3D渲染, 厚涂油画, 照片质感"
